date,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,daily_covid_deaths
jul.-22,,,,2724,,,,,,3007,,
jul.-23,,,2372,,,,,,2767,,,
jul.-24,,,,,,,,2571,,,,
jul.-25,,2486,,,,,2542,,,,,
jul.-26,2289,,,,,,,,,,,
jul.-27,,,,,,2490,,,,,,
jul.-28,,,,,2501,,,,,,,
jul.-29,,,,2486,,,,,,2731,,
jul.-30,,,2359,,,,,,2760,,,
jul.-31,,,,,,,,2510,,,,
ago.-1,,2356,,,,,2500,,,,,
ago.-2,2381,,,,,,,,,,,
ago.-3,,,,,,2544,,,,,,
ago.-4,,,,,2540,,,,,,,
ago.-5,,,,2389,,,,,,2628,,
ago.-6,,,2548,,,,,,2745,,,
ago.-7,,,,,,,,2657,,,,
ago.-8,,2415,,,,,2558,,,,,
ago.-9,2464,,,,,,,,,,,
ago.-10,,,,,,2529,,,,,,
ago.-11,,,,,2423,,,,,,,
ago.-12,,,,2442,,,,,,2612,,
ago.-13,,,2534,,,,,,2605,,,
ago.-14,,,,,,,,2540,,,,
ago.-15,,2381,,,,,2568,,,,,
ago.-16,2277,,,,,,,,,,,
ago.-17,,,,,,2519,,,,,,
ago.-18,,,,,2478,,,,,,,
ago.-19,,,,2402,,,,,,2615,,
ago.-20,,,2370,,,,,,2612,,,
ago.-21,,,,,,,,2545,,,,
ago.-22,,2458,,,,,2701,,,,,
ago.-23,2416,,,,,,,,,,,
ago.-24,,,,,,2527,,,,,,
ago.-25,,,,,2678,,,,,,,
ago.-26,,,,2436,,,,,,2782,,
ago.-27,,,2540,,,,,,2527,,,
ago.-28,,,,,,,,2576,,,,
ago.-29,,2520,,,,,2591,,,,,
ago.-30,2433,,,,,,,,,,,
ago.-31,,,,,,2510,,,,,,
set.-1,,,,,2630,,,,,,,
set.-2,,,,2477,,,,,,2555,,
set.-3,,,2474,,,,,,2613,,,
set.-4,,,,,,,,2570,,,,
set.-5,,2380,,,,,2584,,,,,
set.-6,2523,,,,,,,,,,,
set.-7,,,,,,2599,,,,,,
set.-8,,,,,2529,,,,,,,
set.-9,,,,2311,,,,,,2640,,
set.-10,,,2390,,,,,,2539,,,
set.-11,,,,,,,,2707,,,,
set.-12,,2447,,,,,2725,,,,,
set.-13,2594,,,,,,,,,,,
set.-14,,,,,,2633,,,,,,
set.-15,,,,,2594,,,,,,,
set.-16,,,,2498,,,,,,2580,,
set.-17,,,2640,,,,,,2706,,,
set.-18,,,,,,,,2715,,,,
set.-19,,2593,,,,,2500,,,,,
set.-20,2498,,,,,,,,,,,
set.-21,,,,,,2683,,,,,,
set.-22,,,,,2483,,,,,,,
set.-23,,,,2369,,,,,,2753,,
set.-24,,,2523,,,,,,2696,,,
set.-25,,,,,,,,2669,,,,
set.-26,,2474,,,,,2665,,,,,
set.-27,2598,,,,,,,,,,,
set.-28,,,,,,2742,,,,,,
set.-29,,,,,2639,,,,,,,
set.-30,,,,2576,,,,,,2713,,
out.-1,,,2681,,,,,,2806,,,
out.-2,,,,,,,,2641,,,,
out.-3,,2537,,,,,2683,,,,,
out.-4,2543,,,,,,,,,,,
out.-5,,,,,,2690,,,,,,
out.-6,,,,,2615,,,,,,,
out.-7,,,,2604,,,,,,2911,,
out.-8,,,2666,,,,,,2760,,,
out.-9,,,,,,,,2763,,,,
out.-10,,2551,,,,,2934,,,,,
out.-11,2555,,,,,,,,,,,
out.-12,,,,,,2712,,,,,,
out.-13,,,,,2646,,,,,,,
out.-14,,,,2543,,,,,,2877,,
out.-15,,,2522,,,,,,2739,,,
out.-16,,,,,,,,2706,,,,
out.-17,,2658,,,,,2744,,,,,
out.-18,2609,,,,,,,,,,,
out.-19,,,,,,2832,,,,,,
out.-20,,,,,2562,,,,,,,
out.-21,,,,2679,,,,,,2867,,
out.-22,,,2646,,,,,,2671,,,
out.-23,,,,,,,,2676,,,,
out.-24,,2653,,,,,2948,,,,,
out.-25,2559,,,,,,,,,,,
out.-26,,,,,,2824,,,,,,
out.-27,,,,,2647,,,,,,,
out.-28,,,,2469,,,,,,2852,,
out.-29,,,2691,,,,,,2815,,,
out.-30,,,,,,,,2726,,,,
out.-31,,2567,,,,,2731,,,,,
nov.-1,2542,,,,,,,,,,,
nov.-2,,,,,,2692,,,,,,
nov.-3,,,,,2650,,,,,,,
nov.-4,,,,2503,,,,,,3011,,
nov.-5,,,2729,,,,,,2798,,,
nov.-6,,,,,,,,2797,,,,
nov.-7,,2691,,,,,2912,,,,,
nov.-8,2519,,,,,,,,,,,
nov.-9,,,,,,2599,,,,,,
nov.-10,,,,,2779,,,,,,,
nov.-11,,,,2571,,,,,,3057,,
nov.-12,,,2727,,,,,,2761,,,
nov.-13,,,,,,,,2916,,,,
nov.-14,,2740,,,,,2902,,,,,
nov.-15,2542,,,,,,,,,,,
nov.-16,,,,,,2806,,,,,,
nov.-17,,,,,2777,,,,,,,
nov.-18,,,,2565,,,,,,3019,,
nov.-19,,,2731,,,,,,2859,,,
nov.-20,,,,,,,,2917,,,,
nov.-21,,2782,,,,,2908,,,,,
nov.-22,2736,,,,,,,,,,,
nov.-23,,,,,,2721,,,,,,
